indexer  | time="2026-05-28T23:28:26.738Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:26.738Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:26.738Z" level=info msg="DEBUG instance contract=CAKOTCLUU2ZTZQZWQG4UHUTWVIXGIE2QE4NFQRBZDYLVBMDCIXR4XY4A wasmHash=b06b3414f808f120882908aa4ebc6b21e3c8cb7a63bd6041e8dd07a0a8750bb9 approved=false" pid=7
indexer  | time="2026-05-28T23:28:26.738Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:26.741Z" level=info msg="Processed ledger 2800052 in 2.673542ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:33.280Z" level=info msg="DEBUG instance contract=CAKOTCLUU2ZTZQZWQG4UHUTWVIXGIE2QE4NFQRBZDYLVBMDCIXR4XY4A wasmHash=b06b3414f808f120882908aa4ebc6b21e3c8cb7a63bd6041e8dd07a0a8750bb9 approved=false" pid=7
indexer  | time="2026-05-28T23:28:33.280Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:33.280Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:33.280Z" level=info msg="DEBUG instance contract=CCGNSWUW3RH4MP7EFPF2GSACUMMREPDZX4GNWB5UCA2MLYHSMTPHPVKF wasmHash=06186e938a0ba1585a5d8a6d2ec802f3d184aaf9ec298d8c8aece50ca56cb239 approved=false" pid=7
indexer  | time="2026-05-28T23:28:33.280Z" level=info msg="DEBUG instance contract=CB5MO3OOT3B6DKQUIXICHQDYPXB3OEHPTK4TGQPKKRTNENB2DC6KHBBN wasmHash=06186e938a0ba1585a5d8a6d2ec802f3d184aaf9ec298d8c8aece50ca56cb239 approved=false" pid=7
indexer  | time="2026-05-28T23:28:33.283Z" level=info msg="Processed ledger 2800053 in 3.222459ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CCNNEIHURTEROE7T34V2E5BDEPOLRBGZEB3V3A5F6A563IQR2E6VA5RV wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CAQ4PHZ5H7XO5R6FYGLOSHULV7UX3FBMPQX6IHGKQRHZKKATQSPFBC5T wasmHash=78c1d945edcb39f23792b7ffcd7b7e55c2d5fdb089890fd8333d63df743bbab2 approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CB5MO3OOT3B6DKQUIXICHQDYPXB3OEHPTK4TGQPKKRTNENB2DC6KHBBN wasmHash=06186e938a0ba1585a5d8a6d2ec802f3d184aaf9ec298d8c8aece50ca56cb239 approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.680Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:37.684Z" level=info msg="Processed ledger 2800054 in 3.5945ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:42.573Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:42.573Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:42.573Z" level=info msg="DEBUG instance contract=CCNNEIHURTEROE7T34V2E5BDEPOLRBGZEB3V3A5F6A563IQR2E6VA5RV wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:42.573Z" level=info msg="DEBUG instance contract=CB5MO3OOT3B6DKQUIXICHQDYPXB3OEHPTK4TGQPKKRTNENB2DC6KHBBN wasmHash=06186e938a0ba1585a5d8a6d2ec802f3d184aaf9ec298d8c8aece50ca56cb239 approved=false" pid=7
indexer  | time="2026-05-28T23:28:42.577Z" level=info msg="Processed ledger 2800055 in 3.759459ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CAX5JF7U7WFQDSX7CNEV6DDAQ5J5Q655NLATEUPU5D5GWIWT7T6SGYVO wasmHash=2a0e95278eeb74d0f5a773e9d83fcfc64bc1442048c1659424d2b26a6ebd7c36 approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CBKWIM7PG2RYZAURKIJIIDN33U4HJ5AK5FTUMPVVWSM5AHVUKZS47TTJ wasmHash=de52c30b50e6ab78a796ba509f4509423f7eda3264bd05abb8da56909ec586ec approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CCSZIQ2XLX6IHHGOINSNY2R7RFLPM3DGYEAVPG5MU3ZWDYUPGSVJ3YHC wasmHash=aa82e7a8753539dcde2f1274ac82a3f8cc5339a82b1400209164ac6e182aa422 approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.022Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:47.025Z" level=info msg="Processed ledger 2800056 in 3.829083ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:51.473Z" level=info msg="DEBUG instance contract=CCSZIQ2XLX6IHHGOINSNY2R7RFLPM3DGYEAVPG5MU3ZWDYUPGSVJ3YHC wasmHash=aa82e7a8753539dcde2f1274ac82a3f8cc5339a82b1400209164ac6e182aa422 approved=false" pid=7
indexer  | time="2026-05-28T23:28:51.473Z" level=info msg="DEBUG instance contract=CCNNEIHURTEROE7T34V2E5BDEPOLRBGZEB3V3A5F6A563IQR2E6VA5RV wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:51.473Z" level=info msg="DEBUG instance
